"district","hour","act1","act2","act3","act4","act5"
"054","5am",18893.32,494.6969,0,0,36.2673
"055","5am",13102.093,0,0,0,0
"056","5am",8309.488,154.8243,0,0,71.9088
"057","5am",14627.444,106.0739,0,0,0
"058","5am",9220.405,51.9173,0,0,0
"059","5am",13269.571,488.7323,0,0,145.3454
"060","5am",11354.862,0,0,0,0
"061","5am",15158.754,104.1376,0,0,0
"062","5am",17704.327,253.5699,0,0,72.5629
"063","5am",5134.733,22.7125,0,0,0
"064","5am",16084.669,141.7857,0,0,77.5584
"065","5am",10976.56,370.6439,0,0,36.2673
"066","5am",13907.636,841.659,0,0,0
"001","6am",8741.179,199.0427,0,0,110.8851
"002","6am",15612.901,652.6062,278.1024,0,197.9875
"003","6am",19812.382,405.6305,0,0,58.3404
"004","6am",12982.147,680.0891,0,0,199.8376
"005","6am",15418.653,242.7991,0,0,0
"006","6am",14457.111,1455.8332,0,0,93.1572
"007","6am",11765.835,361.9657,0,0,0
"008","6am",15145.981,584.1684,0,0,359.9977
"009","6am",14227.798,193.4631,0,0,0
"010","6am",13425.456,396.6585,0,0,127.5092
"011","6am",16800.221,98.0439,0,185.491,485.3949
"012","6am",5571.382,83.7689,81.1838,0,75.7502
"013","6am",16482.401,902.4333,0,0,256.8697
"014","6am",5208.717,126.9849,0,0,68.5853
"015","6am",13161.595,363.7381,0,0,30.4317
"016","6am",14979.564,867.0377,60.8937,0,304.9963
"017","6am",5279.863,1075.9444,23.9264,0,23.9264
"018","6am",5653.025,1450.863,0,95.1896,122.5162
"019","6am",10266.956,319.2404,0,0,42.1968
"020","6am",16996.6,272.2789,0,0,85.93
"021","6am",9969.921,757.7926,0,0,175.5824
"022","6am",12351.051,159.139,0,0,59.8107
"023","6am",15046.585,1010.089,12.2087,0,89.4912
"024","6am",19546.53,1033.0433,205.605,0,110.3449
"025","6am",5175.162,1446.7843,0,0,0
"026","6am",6446.226,168.0914,0,0,0
"027","6am",9976.244,130.5413,0,0,57.9552
"028","6am",8909.588,1069.8076,0,0,0
"029","6am",9144.989,2438.9376,0,0,0
"030","6am",16481.314,2677.3126,0,0,138.2453
"031","6am",9496.449,588.9033,0,0,0
"032","6am",11007.384,1152.4695,63.672,0,35.8843
"033","6am",8515.712,169.9807,0,0,44.0683
"034","6am",9834.534,653.8353,0,0,150.6942
"035","6am",11359.271,863.8049,0,0,0
"036","6am",18772.443,409.0325,0,112.7945,111.8353
"037","6am",10348.444,673.8707,0,0,62.5888
"038","6am",14331.437,1638.0677,85.9779,0,62.0332
"039","6am",7162.518,249.6024,0,0,73.9593
"040","6am",10359.421,388.0052,0,0,0
"041","6am",14270.408,613.7632,0,0,0
"042","6am",7081.798,829.1051,0,0,0
"043","6am",12682.28,296.3817,0,0,135.0719
"044","6am",7451.695,575.0128,0,0,107.7304
"045","6am",9188.815,239.1198,0,0,164.1266
"046","6am",8778.147,775.0783,12.2087,68.5853,0
"047","6am",10844.909,235.1469,0,0,0
"048","6am",5981.942,80.5662,0,0,0
"049","6am",9698.706,1368.5102,0,0,42.1968
"050","6am",16914.004,781.5784,0,0,183.7199
"051","6am",17034.637,146.7237,0,0,22.5344
"052","6am",12460.978,244.3649,0,0,151.1291
"053","6am",12525.815,0,0,0,0
"054","6am",17436.365,880.7213,0,116.1748,36.2673
"055","6am",11334.249,0,0,0,0
"056","6am",7488.959,553.7754,23.9264,0,71.9088
"057","6am",13345.709,106.0739,0,0,0
"058","6am",8148.713,180.8795,0,0,0
"059","6am",11623.268,488.7323,0,0,145.3454
"060","6am",10017.62,80.2522,0,0,0
"061","6am",13383.514,386.8976,0,0,0
"062","6am",15808.83,524.3057,0,0,0
"063","6am",4629.059,55.8021,0,0,0
"064","6am",14369.762,649.86,0,0,77.5584
"065","6am",10366.373,490.8369,0,0,36.2673
"066","6am",12618.06,991.139,0,0,0
"001","7am",7172.307,1182.0291,772.6349,0,70.0491
"002","7am",13110.449,2960.0498,7325.9321,305.6556,244.8655
"003","7am",15350.27,2777.213,539.2807,93.0179,552.9705
"004","7am",10294.626,2354.6639,962.858,0,203.6908
"005","7am",11306.723,2108.8996,633.7945,0,87.1966
"006","7am",11940.604,3584.1119,419.6231,0,165.066
